        1920          40  1.00000000000000002E-002   1.6000000000000001       0.52000000000000002       2.00000000000000004E-002          80          25  2.00000000000000004E-002   0.0000000000000000                1
  0.43311548849611536       2.58512909046573966E-002  3.00323929613988128E-005 -2.04391927341451840E-005  2.39114725677722559E-002
  8.98873102664947583E-003 -0.12547224571515783      -1.32485084666789099E-003  7.72792830021296071E-007
  0.45119288843287114       2.78134825424446522E-002  2.48080125886396274E-005 -1.30569017403603382E-006  2.56004681656875586E-002
  9.19557547569274832E-003 -0.12037473167889884      -7.82182017974863975E-004  8.65895984266221061E-007
  0.46945908317302248       2.74908437877631681E-002  2.21877075046172934E-005 -2.78068609804726918E-007  2.45974295417641722E-002
  9.07387626171112134E-003  4.80364546325674595E-003  6.74437005809130907E-006  8.10094011553945533E-007
  0.48759239678434463       2.63191150915010642E-002  2.09019937469356876E-005  7.77463692383517646E-006  2.47929222184360837E-002
  9.09785163402557391E-003  0.44245486109473142      -9.12548245579625217E-004  8.20853037446690607E-007
  0.50681699801462288       2.81455848902422354E-002  2.83684498114666894E-005 -1.70996189430283607E-005  2.39296878896701724E-002
  8.99101293087005600E-003  0.50406468334730237       1.12170100152741981E-003  7.73774244853771904E-007
  0.52436271574054871       2.43708658278213690E-002  2.63039751091653784E-005  7.73913343132814902E-006  2.36595135595141989E-002
  8.95704758167266933E-003  0.49491583904379022      -9.35393749679214181E-004  7.59268819268225741E-007
  0.55884325750433927       2.22916916167767536E-002  1.31262209435156763E-004  9.22591690544205534E-008  2.56476524103550034E-002
  9.20122146606445340E-003 -2.90525370111520478E-002 -2.56497921326259704E-003  8.68557507455989969E-007
  0.57588958028966797       2.87504165444463985E-002  2.18868378420999932E-004 -4.21006678824609182E-005  2.44810403616427807E-002
  9.05954182147979820E-003 -0.62447476645315947       2.09661493555390877E-003  8.03715473361015437E-007
  0.60000363285263669       2.13039354795806629E-002  8.91428209026656759E-006 -1.68272656919654651E-005  2.58547925243439551E-002
  9.22592592239379963E-003  -2.0965822292986003       1.54432340249144318E-004  8.80280283834882484E-007
  0.62226202911000761       2.90986068302471687E-002 -1.93799182257592406E-005 -3.23739010772705615E-005  2.57223286583774316E-002
  9.21014297008514518E-003 -0.96704875774428567       1.35233368631082485E-002  8.72776447544023361E-007
  0.63873265195071438       2.18550864353263506E-002  2.30200355999521378E-004 -5.16180126072796064E-005  2.24085831912896258E-002
  8.79632115364074700E-003  4.79833964407097927E-002 -6.55678161157885464E-003  6.93548032591478840E-007
  0.65516182982146187       2.85481143811594611E-002  3.27881329309498426E-004  3.77133187352829413E-005  2.37910169207155020E-002
  8.97361183166504005E-003  0.31582998264797946      -1.04370706660583679E-003  7.66315405054944225E-007
  0.67305584167552590       2.60177626403186625E-002  9.73971470141776763E-005  1.68187762050742151E-004  2.49404543596476493E-002
  9.11586177349090615E-003 -0.37064385443262132      -4.35394152675794288E-004  8.29010086994255616E-007
  0.69093578755007046       2.73492901070582113E-002 -9.26344412288671037E-005 -1.46145020703258854E-004  2.26941737992445540E-002
  8.83353233337402441E-003  0.67283319589338408      -2.06284103992926404E-002  7.08342294449240400E-007
  0.70860938373848825       2.75226287879409524E-002  1.46311290305511932E-004 -3.87175420075297483E-004  2.27677352899640466E-002
  8.84306645393371539E-003 -0.63126847983246237       5.36730420941378128E-003  7.12173159832759888E-007
  0.72608090139925952       2.51935295595492569E-002  6.26456836405608897E-005 -4.26836222078980088E-004  2.23119347059950006E-002
